PIP,DIP
0,0
0.237692012,0.151466851
0.230175357,0.157163122
0.236787003,0.15883352
0.236787003,0.15883352
0.249082216,0.150923153
0.246157507,0.14680417
0.248014413,0.165680593
0.248014413,0.165680593
0.262826303,0.159644228
0.274667771,0.159931947
0.274667771,0.159931947
0.286810377,0.133985271
0.29598853,0.122373122
0.286585814,0.128394101
0.286585814,0.128394101
0.302395502,0.153628083
0.310835549,0.148455908
0.310835549,0.148455908
0.33575389,0.146939214
0.33575389,0.146939214
0.345098715,0.171816576
0.345098715,0.171816576
0.345098715,0.171816576
0.374954479,0.182712187
0.374954479,0.191983152
0.416099688,0.191983152
0.416099688,0.191983152
0.444596899,0.215995558
0.444596899,0.215995558
0.468461324,0.229639145
0.468461324,0.229639145
0.50876407,0.233187302
0.50876407,0.233187302
0.542030878,0.251481044
0.542030878,0.251481044
0.582493733,0.271192646
0.582493733,0.271192646
0.582493733,0.271192646
0.62795424,0.261052934
0.62795424,0.261052934
0.62795424,0.261052934
0.647775951,0.266113865
0.647775951,0.266113865
0.647775951,0.266113865
0.647775951,0.266113865
0.660206179,0.281203426
0.660206179,0.281203426
0.660206179,0.281203426
0.684896274,0.283445284
0.67718765,0.288463662
0.67718765,0.288463662
0.67718765,0.288463662
0.704071395,0.268705956
0.704071395,0.268705956
0.704071395,0.268705956
0.721386177,0.29284156
0.721386177,0.29284156
0.721386177,0.29284156
0.814505823,0.203244141
0.814505823,0.203244141
0.814505823,0.203244141
0.814505823,0.203244141
0.812666221,0.229344968
0.812666221,0.229344968
0.812666221,0.229344968
0.810075155,0.232587575
0.810075155,0.232587575
0.810075155,0.232587575
0.727178493,0.333391843
0.727178493,0.333391843
0.727178493,0.333391843
0.712178897,0.335623729
0.712178897,0.335623729
0.712178897,0.335623729
0.812652831,0.233822253
0.812652831,0.233822253
0.812652831,0.233822253
0.810130045,0.2339015
0.810130045,0.2339015
0.810130045,0.2339015
0.808865202,0.267387718
0.808865202,0.267387718
0.808865202,0.267387718
0.808865202,0.267387718
0.725066877,0.345437031
0.725066877,0.345437031
0.725066877,0.345437031
0.812596777,0.253005869
0.812596777,0.253005869
0.812596777,0.253005869
0.804532505,0.279121792
0.804532505,0.279121792
0.814911842,0.251048275
0.814911842,0.251048275
0.814911842,0.251048275
0.833258105,0.246756054
0.833258105,0.246756054
0.833258105,0.246756054
0.807626332,0.261290332
0.808654521,0.266489898
0.810049042,0.26400664
0.805900551,0.261613146
0.805997473,0.261613146
0.805997473,0.261613146
0.805997473,0.261613146
0.816194909,0.26369811
0.798695815,0.261571344
0.823183355,0.259939472
0.823183355,0.259939472
0.708837584,0.367799868
0.708837584,0.367799868
0.82583836,0.268131913
0.82583836,0.268131913
0.7151224,0.370966224
0.7151224,0.370966224
0.7151224,0.370966224
0.827022572,0.26440416
0.830371299,0.253982659
0.830371299,0.253982659
0.71591444,0.374599186
0.71591444,0.374599186
0.71591444,0.374599186
0.825000505,0.273548098
0.821745942,0.27322048
0.821745942,0.27322048
0.821745942,0.27322048
0.805630306,0.281373422
0.805630306,0.281373422
0.805630306,0.281373422
0.824039777,0.272203825
0.824039777,0.272203825
0.824039777,0.272203825
0.824039777,0.272203825
0.842564268,0.266633735
0.842564268,0.266633735
0.842564268,0.266633735
0.827543422,0.27544678
0.827543422,0.27544678
0.827543422,0.27544678
0.721372133,0.379229577
0.721372133,0.379229577
0.721372133,0.379229577
0.835317583,0.282024574
0.835317583,0.282024574
0.835317583,0.282024574
0.79560006,0.30308818
0.79560006,0.30308818
0.849782286,0.26417874
0.849782286,0.26417874
0.849782286,0.26417874
0.809692601,0.299476991
0.809692601,0.299476991
0.719161696,0.385417181
0.719161696,0.385417181
0.719161696,0.385417181
0.732059528,0.390932094
0.732059528,0.390932094
0.732059528,0.390932094
0.724762075,0.392945371
0.724762075,0.392945371
0.724762075,0.392945371
0.825696735,0.286494269
0.825696735,0.286494269
0.83582395,0.284162845
0.824830813,0.285634411
0.824830813,0.285634411
0.852710191,0.288183187
0.760665865,0.380243187
0.744275321,0.375318607
0.744275321,0.375318607
0.750788346,0.375826013
0.770043193,0.375973253
0.770043193,0.375973253
0.770043193,0.375973253
